date posted,day streak,👑 Round,👑,1/6,2/6,3/6,4/6,5/6,6/6,X/6
2025-10-02,**Your group is on a 119 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @Lorax,--,--,@hereisrachel @Lorax,@sinfulprey11 @Shawn @joel @jbonly,--,--,--
2025-10-03,**Your group is on a 120 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @jbonly,--,--,@sinfulprey11 @jbonly,@Heather @CardinalJoker,@hereisrachel @joel @Shawn,--,@Lorax
2025-10-04,**Your group is on a 121 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@CardinalJoker @Shawn,--,--,--,@CardinalJoker @Shawn,@sinfulprey11 @Heather @joel @jbonly,@hereisrachel,--
2025-10-05,**Your group is on a 122 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@joel,--,@joel,@sinfulprey11 @jbonly,@CardinalJoker @Shawn,@hereisrachel,--,@Lorax
2025-10-06,**Your group is on a 123 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @jbonly @Lorax,--,--,@hereisrachel @jbonly @Lorax,@Shawn,@CardinalJoker @sinfulprey11,@joel,--
2025-10-07,**Your group is on a 124 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@CardinalJoker,--,@CardinalJoker,@hereisrachel @sinfulprey11,@Lorax @jbonly,@Shawn @joel,--,--
2025-10-08,**Your group is on a 125 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@joel,--,--,@joel,@Shawn @hereisrachel @jbonly,@sinfulprey11,--,@CardinalJoker @Lorax @Heather
2025-10-09,**Your group is on a 126 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn @joel,--,--,@Shawn @joel,@hereisrachel @sinfulprey11,@jbonly,--,--
2025-10-10,**Your group is on a 127 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@hereisrachel,--,@hereisrachel,--,@sinfulprey11 @jbonly @CardinalJoker,@Shawn,--,@joel
2025-10-11,**Your group is on a 128 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@sinfulprey11 @jbonly,@Shawn @joel,--,@CardinalJoker
2025-10-12,**Your group is on a 129 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@Shawn,--,@Shawn,@jbonly @joel,@sinfulprey11,@hereisrachel @CardinalJoker @Lorax,--,--
2025-10-13,**Your group is on a 130 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Lorax,--,--,@Lorax,@sinfulprey11 @jbonly,@Shawn @Heather,@joel,@hereisrachel
2025-10-14,**Your group is on a 131 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @CardinalJoker,--,--,@sinfulprey11 @CardinalJoker,@hereisrachel @Shawn @jbonly,@joel,@Lorax,--
2025-10-14,**Your group is on a 132 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @Shawn,--,--,@hereisrachel @Shawn,@sinfulprey11 @Lorax @jbonly @CardinalJoker,@joel,--,--
2025-10-16,**Your group is on a 133 day streak!** 🔥🔥🔥 Here are yesterday's results:,5/6,@sinfulprey11 @jbonly @hereisrachel @Shawn,--,--,--,--,@sinfulprey11 @jbonly @hereisrachel @Shawn,--,@CardinalJoker
2025-10-17,**Your group is on a 134 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@Shawn,--,@joel @jbonly,@sinfulprey11
2025-10-18,**Your group is on a 135 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@sinfulprey11 @Shawn,--,--,@joel @hereisrachel
2025-10-19,**Your group is on a 136 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@sinfulprey11 @Shawn @jbonly,@joel,--,@Lorax
2025-10-20,**Your group is on a 137 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@joel @hereisrachel,--,--,@joel @hereisrachel,@sinfulprey11 @jbonly,@Shawn,--,--
2025-10-21,**Your group is on a 138 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@joel @sinfulprey11,@Shawn @jbonly,--,--
2025-10-22,**Your group is on a 139 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Shawn @hereisrachel @sinfulprey11 @jbonly,--,--,--,@Shawn @hereisrachel @sinfulprey11 @jbonly,@joel,--,--
2025-10-23,**Your group is on a 140 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Lorax,--,--,--,@Lorax,@sinfulprey11 @joel @jbonly,@hereisrachel,@Shawn
2025-10-24,**Your group is on a 141 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@sinfulprey11 @hereisrachel @MajorDanger,@Shawn,@Lorax,--
2025-10-25,**Your group is on a 142 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@jbonly,--,--,--,@jbonly,@sinfulprey11 @hereisrachel @Shawn @Lorax,--,@MajorDanger
2025-10-26,**Your group is on a 143 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@hereisrachel @Shawn @joel,@Lorax,--,--
2025-10-27,**Your group is on a 144 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel,--,--,--,@hereisrachel,@sinfulprey11 @Shawn,@jbonly,--
2025-10-28,**Your group is on a 145 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @jbonly,--,--,@hereisrachel @jbonly,@sinfulprey11 @Shawn,--,--,--
2025-10-29,**Your group is on a 146 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@sinfulprey11,--,--,--,@sinfulprey11,@jbonly,@Shawn @hereisrachel,--
2025-10-30,**Your group is on a 147 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@hereisrachel @joel,@sinfulprey11 @Shawn,--,--
2025-10-31,**Your group is on a 148 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@joel,--,@joel,--,@Shawn @hereisrachel @jbonly @sinfulprey11,--,--,@CardinalJoker
2025-10-31,**Your group is on a 149 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn,--,--,@Shawn,@jbonly @hereisrachel @joel,@MajorDanger,--,@sinfulprey11
2025-11-02,**Your group is on a 150 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn @jbonly @sinfulprey11,--,--,@Shawn @jbonly @sinfulprey11,@hereisrachel @joel,--,--,--
2025-11-03,**Your group is on a 151 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@joel @jbonly,--,--,--,@joel @jbonly,@hereisrachel @Shawn,--,@sinfulprey11
2025-11-04,**Your group is on a 152 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@hereisrachel @Shawn,@jbonly,@joel,--
2025-11-05,**Your group is on a 153 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Shawn @jbonly,--,--,--,@Shawn @jbonly,@sinfulprey11 @hereisrachel @joel @Lorax,--,--
2025-11-06,**Your group is on a 154 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@Shawn @joel,@jbonly @sinfulprey11,--,--
2025-11-07,**Your group is on a 155 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly @hereisrachel,--,--,@jbonly @hereisrachel,@Shawn,@sinfulprey11,@joel,--
2025-11-08,**Your group is on a 156 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@jbonly,--,@jbonly,@Shawn @hereisrachel,@sinfulprey11 @joel @MajorDanger,--,--,--
2025-11-09,**Your group is on a 157 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@jbonly,@sinfulprey11 @Shawn @joel,@MajorDanger,--
2025-11-10,**Your group is on a 158 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Shawn,--,--,--,@Shawn,@Lorax @hereisrachel @jbonly,@sinfulprey11 @joel,@MajorDanger
2025-11-11,**Your group is on a 159 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@sinfulprey11,--,--,--,@sinfulprey11,@hereisrachel @jbonly @Shawn,--,@MajorDanger
2025-11-12,**Your group is on a 160 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Shawn @sinfulprey11 @hereisrachel,--,--,--,@Shawn @sinfulprey11 @hereisrachel,@joel,@jbonly,@MajorDanger
2025-11-13,**Your group is on a 161 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@hereisrachel,--,@hereisrachel,--,@jbonly @Shawn @joel,@sinfulprey11 @MajorDanger,--,--
2025-11-14,**Your group is on a 162 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@Shawn @sinfulprey11 @hereisrachel,@joel,--,@MajorDanger
2025-11-15,**Your group is on a 163 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@jbonly,--,@jbonly,@hereisrachel,@MajorDanger @Lorax @Shawn,@sinfulprey11,--,--
2025-11-16,**Your group is on a 164 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@sinfulprey11 @Shawn,--,--,--,@sinfulprey11 @Shawn,@hereisrachel @jbonly @MajorDanger @joel,--,@toastychu
2025-11-17,**Your group is on a 165 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@sinfulprey11 @jbonly,--,--,--,@sinfulprey11 @jbonly,@hereisrachel,@Shawn @joel,@MajorDanger
2025-11-18,**Your group is on a 166 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @jbonly,--,--,@hereisrachel @jbonly,@sinfulprey11 @Shawn @joel,--,@MajorDanger,--
2025-11-19,**Your group is on a 167 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@Shawn @sinfulprey11,@hereisrachel,--,@MajorDanger
2025-11-20,**Your group is on a 168 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@MajorDanger,--,@MajorDanger,@hereisrachel,@Shawn,--,@sinfulprey11 @jbonly,--
2025-11-21,**Your group is on a 169 day streak!** 🔥🔥🔥 Here are yesterday's results:,5/6,@sinfulprey11 @Shawn,--,--,--,--,@sinfulprey11 @Shawn,@hereisrachel @jbonly,--
2025-11-22,**Your group is on a 170 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel @jbonly,--,--,--,@hereisrachel @jbonly,@sinfulprey11 @Lorax,@Shawn @MajorDanger,--
2025-11-23,**Your group is on a 171 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @hereisrachel,--,--,@sinfulprey11 @hereisrachel,@Shawn @jbonly,@MajorDanger,--,--
2025-11-24,**Your group is on a 172 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@sinfulprey11 @CardinalJoker @jbonly,--,--,--,@sinfulprey11 @CardinalJoker @jbonly,--,@MajorDanger @Shawn,--
2025-11-25,**Your group is on a 173 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@CardinalJoker,--,@CardinalJoker,@hereisrachel,@jbonly @sinfulprey11,@Shawn,@MajorDanger,--
2025-11-26,**Your group is on a 174 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @sinfulprey11,--,--,@hereisrachel @sinfulprey11,@Shawn @jbonly,--,--,--
2025-11-27,**Your group is on a 175 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @jbonly,--,--,@hereisrachel @jbonly,--,@Shawn @sinfulprey11,--,--
2025-11-28,**Your group is on a 176 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@Shawn,--,@Shawn,--,@hereisrachel @sinfulprey11 @jbonly,--,--,@The-Poll-Chancellor
2025-11-29,**Your group is on a 177 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@hereisrachel @Shawn @sinfulprey11,@The-Poll-Chancellor,@MajorDanger,--
2025-11-30,**Your group is on a 178 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@The-Poll-Chancellor,--,--,@The-Poll-Chancellor,@hereisrachel @Shawn @sinfulprey11 @jbonly,@TheFastestClark,--,--
2025-12-01,**Your group is on a 179 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@MajorDanger @sinfulprey11 @hereisrachel,--,--,--,@MajorDanger @sinfulprey11 @hereisrachel,@Shawn @TheFastestClark @The-Poll-Chancellor @jbonly,--,--
2025-12-02,**Your group is on a 180 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@jbonly,@Shawn @The-Poll-Chancellor,@sinfulprey11,--
2025-12-03,**Your group is on a 181 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@hereisrachel,--,@MajorDanger,@sinfulprey11 @The-Poll-Chancellor
2025-12-04,**Your group is on a 182 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn @TheFastestClark @jbonly,--,--,@Shawn @TheFastestClark @jbonly,--,@sinfulprey11 @The-Poll-Chancellor,@hereisrachel,@Lorax
2025-12-05,**Your group is on a 183 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@jbonly,--,@jbonly,@hereisrachel,@Shawn @The-Poll-Chancellor,--,--,@MajorDanger
2025-12-06,**Your group is on a 184 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@The-Poll-Chancellor,--,--,@The-Poll-Chancellor,@hereisrachel @jbonly,@TheFastestClark,@MajorDanger,@sinfulprey11
2025-12-07,**Your group is on a 185 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @Shawn @jbonly @sinfulprey11,--,--,@hereisrachel @Shawn @jbonly @sinfulprey11,--,@CardinalJoker @The-Poll-Chancellor,--,@MajorDanger @toastychu
2025-12-08,**Your group is on a 186 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @jbonly,--,--,@sinfulprey11 @jbonly,@hereisrachel,--,@Shawn,--
2025-12-09,**Your group is on a 187 day streak!** 🔥🔥🔥 Here are yesterday's results:,5/6,@sinfulprey11 @Shawn @hereisrachel,--,--,--,--,@sinfulprey11 @Shawn @hereisrachel,@jbonly,--
2025-12-10,**Your group is on a 188 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@sinfulprey11 @hereisrachel @The-Poll-Chancellor @MajorDanger,--,--,--
2025-12-11,**Your group is on a 189 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@CardinalJoker @Shawn @The-Poll-Chancellor,@jbonly,@MajorDanger,@sinfulprey11 @TheFastestClark
2025-12-12,**Your group is on a 190 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@CardinalJoker,--,--,@CardinalJoker,@jbonly @The-Poll-Chancellor @sinfulprey11,@hereisrachel @TheFastestClark,@Shawn @MajorDanger,--
2025-12-13,**Your group is on a 191 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@The-Poll-Chancellor,--,@The-Poll-Chancellor,@Shawn @hereisrachel @sinfulprey11,@jbonly @MajorDanger,@CardinalJoker,--,--
2025-12-14,**Your group is on a 192 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @Shawn,--,--,@sinfulprey11 @Shawn,@hereisrachel,@The-Poll-Chancellor @MajorDanger @joel,@jbonly,@CardinalJoker
2025-12-15,**Your group is on a 193 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly @CardinalJoker,--,--,@jbonly @CardinalJoker,@sinfulprey11 @hereisrachel,@Shawn,@joel @MajorDanger @The-Poll-Chancellor,--
2025-12-16,**Your group is on a 194 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel @jbonly @The-Poll-Chancellor,--,--,--,@hereisrachel @jbonly @The-Poll-Chancellor,@sinfulprey11 @Shawn @MajorDanger @CardinalJoker,--,--
2025-12-17,**Your group is on a 195 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@CardinalJoker @jbonly,@Shawn,@sinfulprey11 @joel,--
2025-12-18,**Your group is on a 196 day streak!** 🔥🔥🔥 Here are yesterday's results:,1/6,@Lorax,@Lorax,@CardinalJoker,@jbonly,@sinfulprey11,@MajorDanger,@hereisrachel @Shawn,@TheFastestClark
2025-12-19,**Your group is on a 197 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @hereisrachel,--,--,@sinfulprey11 @hereisrachel,@jbonly,@Shawn,--,@CardinalJoker
2025-12-20,**Your group is on a 198 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel @jbonly,--,--,--,@hereisrachel @jbonly,@joel,@MajorDanger,@CardinalJoker @sinfulprey11
2025-12-21,**Your group is on a 199 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@joel @hereisrachel @jbonly,@Heather @MajorDanger,--,--
2025-12-22,**Your group is on a 200 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel @CardinalJoker,--,--,--,@hereisrachel @CardinalJoker,@Shawn @Lorax,@MajorDanger @jbonly,--
2025-12-23,**Your group is on a 201 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @jbonly,--,--,@sinfulprey11 @jbonly,@hereisrachel @Shawn @joel @Asa,@Heather @Lorax @MajorDanger,@CardinalJoker,--
2025-12-24,**Your group is on a 202 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @Heather,--,--,@hereisrachel @Heather,@jbonly @CardinalJoker @MajorDanger @sinfulprey11,@joel,@Shawn,@Asa
2025-12-25,**Your group is on a 203 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Heather @MajorDanger,--,--,--,@Heather @MajorDanger,@Shawn @CardinalJoker @jbonly @joel,@hereisrachel @sinfulprey11,--
2025-12-26,**Your group is on a 204 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@Shawn,--,@Shawn,@CardinalJoker @molligan82,@hereisrachel @sinfulprey11 @Lorax @jbonly,@MajorDanger,--,--
2025-12-27,**Your group is on a 205 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @Shawn @jbonly,--,--,@sinfulprey11 @Shawn @jbonly,@CardinalJoker @hereisrachel @MajorDanger,@Heather,--,--
2025-12-28,**Your group is on a 206 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@jbonly @CardinalJoker,--,--,--,@jbonly @CardinalJoker,@Shawn @Heather @MajorDanger,@sinfulprey11,@hereisrachel
2025-12-29,**Your group is on a 207 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@jbonly @MajorDanger,--,--,--,@jbonly @MajorDanger,@hereisrachel @Shawn @CardinalJoker,@sinfulprey11 @Heather,--
2025-12-30,**Your group is on a 208 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly @MajorDanger,--,--,@jbonly @MajorDanger,@hereisrachel @Shawn @CardinalJoker,@sinfulprey11 @joel,--,@Heather
2025-12-31,**Your group is on a 209 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @sinfulprey11 @MajorDanger,--,--,@hereisrachel @sinfulprey11 @MajorDanger,@Shawn @jbonly @joel,--,--,@CardinalJoker @The-Poll-Chancellor
2026-01-01,**Your group is on a 210 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @The-Poll-Chancellor,--,--,@hereisrachel @The-Poll-Chancellor,@CardinalJoker @sinfulprey11 @Heather @Shawn @joel @toastychu @jbonly,@MajorDanger,--,--
2026-01-02,**Your group is on a 211 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@toastychu @jbonly,--,--,@toastychu @jbonly,@joel @Shawn,@The-Poll-Chancellor @Heather @hereisrachel @MajorDanger,@sinfulprey11 @CardinalJoker,--
2026-01-03,**Your group is on a 212 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel @sinfulprey11,--,--,--,@hereisrachel @sinfulprey11,@joel,@CardinalJoker,@toastychu @jbonly
2026-01-04,**Your group is on a 213 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@MajorDanger @CardinalJoker @joel,@hereisrachel,--,--
2026-01-05,**Your group is on a 214 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @CardinalJoker,--,--,@hereisrachel @CardinalJoker,@sinfulprey11 @MajorDanger,@jbonly,--,--
2026-01-06,**Your group is on a 215 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@CardinalJoker,--,--,@CardinalJoker,@hereisrachel,--,@jbonly @Shawn,@MajorDanger
2026-01-07,**Your group is on a 216 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@jbonly,--,--,--,@jbonly,@hereisrachel @sinfulprey11,--,@Shawn
2026-01-08,**Your group is on a 217 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@sinfulprey11 @jbonly @Shawn,--,--,--
2026-01-09,**Your group is on a 218 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @Shawn @sinfulprey11 @jbonly,--,--,@hereisrachel @Shawn @sinfulprey11 @jbonly,@toastychu @CardinalJoker @MajorDanger,--,--,--
2026-01-10,**Your group is on a 219 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel @joel,--,--,--,@hereisrachel @joel,@sinfulprey11 @jbonly,--,@Shawn @CardinalJoker
2026-01-11,**Your group is on a 220 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@sinfulprey11 @jbonly @Lorax,@joel,@MajorDanger,@CardinalJoker
2026-01-12,**Your group is on a 221 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel @sinfulprey11,--,--,--,@hereisrachel @sinfulprey11,@joel @jbonly,--,@Lorax @Shawn @MajorDanger
2026-01-13,**Your group is on a 222 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@jbonly,--,@jbonly,@hereisrachel @sinfulprey11 @CardinalJoker @joel,@Shawn,--,--,--
2026-01-14,**Your group is on a 223 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Shawn @hereisrachel @jbonly @CardinalJoker @toastychu,--,--,--,@Shawn @hereisrachel @jbonly @CardinalJoker @toastychu,@joel,@sinfulprey11,--
2026-01-15,**Your group is on a 224 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@toastychu,--,--,@toastychu,@hereisrachel @sinfulprey11 @Shawn,@joel,@CardinalJoker @jbonly,@MajorDanger
2026-01-16,**Your group is on a 225 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@Shawn,--,@Shawn,@hereisrachel,@jbonly @MajorDanger @joel,@sinfulprey11 @CardinalJoker,@toastychu,--
2026-01-17,**Your group is on a 226 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn @jbonly,--,--,@Shawn @jbonly,--,@sinfulprey11 @joel,@hereisrachel @CardinalJoker @toastychu,@MajorDanger
2026-01-18,**Your group is on a 227 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@toastychu @jbonly,--,@Shawn @joel @MajorDanger,@sinfulprey11
2026-01-19,**Your group is on a 228 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@Shawn,--,@Shawn,@hereisrachel,@joel,@sinfulprey11 @jbonly,--,@toastychu @CardinalJoker
2026-01-20,**Your group is on a 229 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@jbonly @sinfulprey11 @joel,--,--,--,@jbonly @sinfulprey11 @joel,--,@hereisrachel @Shawn,@CardinalJoker
2026-01-21,**Your group is on a 230 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@CardinalJoker @hereisrachel @jbonly,--,--,--,@CardinalJoker @hereisrachel @jbonly,@MajorDanger @Shawn @sinfulprey11,--,@toastychu
2026-01-22,**Your group is on a 231 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@CardinalJoker,--,--,@CardinalJoker,@hereisrachel,@Shawn @sinfulprey11 @jbonly,@toastychu,@MajorDanger
2026-01-23,**Your group is on a 232 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@hereisrachel,--,--,--,@hereisrachel,@CardinalJoker @sinfulprey11 @Shawn @jbonly,--,--
2026-01-24,**Your group is on a 233 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn,--,--,@Shawn,@hereisrachel @jbonly,@sinfulprey11,--,@CardinalJoker
2026-01-25,**Your group is on a 234 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@toastychu @jbonly,--,--,@toastychu @jbonly,@sinfulprey11 @Shawn,@CardinalJoker,@hereisrachel,@MajorDanger
2026-01-26,**Your group is on a 235 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@CardinalJoker @hereisrachel @Shawn @sinfulprey11,@molligan82,--,--
2026-01-27,**Your group is on a 236 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@joel,--,--,@joel,@hereisrachel @Shawn @toastychu @CardinalJoker,@jbonly @MajorDanger,@sinfulprey11,--
2026-01-28,**Your group is on a 237 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @The-Poll-Chancellor,--,--,@hereisrachel @The-Poll-Chancellor,@sinfulprey11,@Shawn,@toastychu @joel @jbonly,--
2026-01-28,**Your group is on a 238 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @joel,--,--,@sinfulprey11 @joel,@hereisrachel @The-Poll-Chancellor @jbonly,@MajorDanger @CardinalJoker,@toastychu,--
2026-01-30,**Your group is on a 239 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn @joel,--,--,@Shawn @joel,@toastychu @jbonly @TheFastestClark @sinfulprey11 @CardinalJoker,@hereisrachel,--,@The-Poll-Chancellor
2026-01-31,**Your group is on a 240 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@sinfulprey11,--,--,--,@sinfulprey11,@joel,@Shawn @hereisrachel @jbonly,@MajorDanger @CardinalJoker @The-Poll-Chancellor
2026-02-01,**Your group is on a 241 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@joel,--,--,@joel,@Shawn @jbonly @sinfulprey11 @The-Poll-Chancellor,--,@hereisrachel,@CardinalJoker
2026-02-02,**Your group is on a 242 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @The-Poll-Chancellor @joel,--,--,@hereisrachel @The-Poll-Chancellor @joel,@jbonly @sinfulprey11,@Shawn,--,@CardinalJoker
2026-02-03,**Your group is on a 243 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @The-Poll-Chancellor,--,--,@sinfulprey11 @The-Poll-Chancellor,@hereisrachel @Shawn @jbonly,@joel,@toastychu,--
2026-02-04,**Your group is on a 244 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly @sinfulprey11,--,--,@jbonly @sinfulprey11,@hereisrachel @The-Poll-Chancellor,@Shawn @joel,--,@MajorDanger
